frame,gazeStartPos,
385,"[5.137446,0.9648025,3.85149]",
386,"[5.139061,0.9543306,3.857347]",
387,"[5.150563,0.9352446,3.870427]",
388,"[5.153276,0.9332886,3.874973]",
389,"[5.16686,0.9372863,3.884572]",
390,"[5.179737,0.9436819,3.889114]",
391,"[5.197131,0.9495859,3.893812]",
392,"[5.235848,0.9641335,3.901635]",
393,"[5.262801,0.9706403,3.90564]",
394,"[5.330701,0.9826097,3.914158]",
395,"[5.438294,0.981687,3.926987]",
396,"[5.560987,0.9773877,3.945585]",
397,"[5.631998,0.9728726,3.957206]",
398,"[5.950001,0.7410439,4.237495]",
399,"[5.950001,0.8447743,4.13674]",
400,"[5.950001,0.9182531,4.099395]",
401,"[5.95,1.164589,3.900076]",
402,"[5.95,1.258376,3.796783]",
403,"[5.95,1.680849,3.332626]",
404,"[5.95,1.694165,3.29286]",
405,"[5.95,1.713823,3.101908]",
406,"[5.95,1.690316,3.009485]",
407,"[5.530876,1.739732,2.984957]",
408,"[5.774146,1.698017,2.838563]",
409,"[5.757938,1.698017,2.802032]",
410,"[5.95,1.676667,2.562309]",
411,"[5.872762,1.687921,2.562425]",
412,"[5.748934,1.704989,2.558101]",
413,"[5.753944,1.704034,2.558276]",
414,"[5.753914,1.704049,2.558275]",
415,"[5.795818,1.704961,2.559738]",
416,"[5.798757,1.707827,2.559841]",
417,"[5.849097,1.719077,2.561599]",
418,"[5.95,1.71887,2.554049]",
419,"[5.95,1.738187,2.574775]",
420,"[5.95,1.75103,2.594623]",
421,"[5.95,1.767293,2.625336]",
422,"[5.95,1.772472,2.635116]",
423,"[5.95,1.77932,2.64507]",
424,"[5.95,1.797311,2.655293]",
425,"[5.555774,1.853451,2.758061]",
426,"[5.608872,1.948934,2.733663]",
427,"[5.608872,1.974183,2.727884]",
428,"[5.608872,2.006448,2.721666]",
429,"[5.608872,2.021594,2.719219]",
430,"[5.608872,2.025483,2.721665]",
431,"[5.608872,2.031578,2.722327]",
432,"[5.608872,2.031767,2.723589]",
433,"[5.608872,2.031534,2.727922]",
434,"[5.608872,2.031398,2.730235]",
435,"[5.608872,2.024095,2.737302]",
436,"[5.608872,2.019308,2.742179]",
437,"[5.608872,2.014848,2.746874]",
438,"[5.623841,2.013166,2.747104]",
439,"[5.633577,2.012409,2.747104]",
440,"[5.642941,2.012477,2.747104]",
441,"[5.645074,2.012776,2.747104]",
442,"[5.608872,2.021715,2.746552]",
443,"[5.608872,2.053743,2.738837]",
444,"[5.608872,2.069829,2.733812]",
445,"[5.608872,2.087198,2.726181]",
446,"[5.608872,2.092875,2.722484]",
447,"[5.608872,2.099615,2.716017]",
448,"[5.608872,2.100187,2.716105]",
449,"[5.608872,2.102085,2.709025]",
450,"[5.608872,2.102494,2.704842]",
451,"[5.608872,2.102864,2.700185]",
452,"[5.608872,2.102197,2.69138]",
453,"[5.608872,2.101409,2.685771]",
454,"[5.608872,2.098705,2.67223]",
455,"[5.608872,2.085338,2.638512]",
456,"[5.588957,2.035244,2.500036]",
457,"[5.587901,2.028508,2.475841]",
458,"[5.586509,2.018093,2.443974]",
459,"[5.585964,2.014091,2.43149]",
460,"[5.585631,2.012671,2.423857]",
461,"[5.585101,2.011198,2.411715]",
462,"[5.584865,2.010804,2.406308]",
463,"[5.584435,2.010208,2.396452]",
464,"[5.584228,2.010126,2.391706]",
465,"[5.583854,2.010621,2.38315]",
466,"[5.583663,2.010755,2.378763]",
467,"[5.583485,2.010686,2.374711]",
468,"[5.583498,2.01091,2.374995]",
469,"[5.583496,2.010958,2.374952]",
470,"[5.583135,2.010015,2.366694]",
471,"[5.582926,2.009234,2.361897]",
472,"[5.580781,2.001812,2.312781]",
473,"[5.580118,1.998271,2.297583]",
474,"[5.579145,1.99365,2.2753]",
475,"[5.578908,1.993173,2.269885]",
476,"[5.578434,1.991416,2.259003]",
477,"[5.578218,1.99028,2.254071]",
478,"[5.577976,1.988301,2.248518]",
479,"[5.577678,1.984844,2.241699]",
480,"[5.577551,1.983577,2.238787]",
481,"[5.577449,1.981875,2.236469]",
482,"[5.577465,1.981653,2.236815]",
483,"[5.577346,1.979625,2.234095]",
484,"[5.577211,1.977116,2.231015]",
485,"[5.576987,1.951583,2.225877]",
486,"[5.576101,1.883998,2.205585]",
487,"[5.576233,1.86272,2.19613]",
488,"[5.575819,1.841799,2.184048]",
489,"[5.576353,1.834017,2.178308]",
490,"[5.692667,1.826943,2.109574]",
491,"[5.686925,1.824683,2.109374]",
492,"[5.680618,1.822364,2.109154]",
493,"[5.672492,1.817698,2.10887]",
494,"[5.670282,1.815452,2.108793]",
495,"[5.662791,1.810642,2.108531]",
496,"[5.657673,1.808182,2.108352]",
497,"[5.645703,1.807045,2.107934]",
498,"[5.637081,1.80684,2.107633]",
499,"[5.627722,1.806299,2.107306]",
500,"[5.575003,1.81244,2.083008]",
501,"[5.95,1.800549,1.826518]",
502,"[5.95,1.805217,1.790623]",
503,"[5.95,1.806053,1.776262]",
504,"[5.95,1.806708,1.761955]",
505,"[5.95,1.809773,1.758717]",
506,"[5.95,1.813193,1.754912]",
507,"[5.95,1.81392,1.754132]",
508,"[5.95,1.814537,1.75551]",
509,"[5.95,1.81342,1.758984]",
510,"[5.95,1.811651,1.765826]",
511,"[5.95,1.803852,1.823405]",
512,"[5.95,1.796521,1.857816]",
513,"[5.95,1.681724,2.137857]",
514,"[5.95,1.666928,2.164018]",
515,"[5.579569,1.565512,2.417455]",
516,"[5.57932,1.545957,2.433375]",
517,"[5.57932,1.526121,2.47333]",
518,"[5.654064,1.483401,2.505306]",
519,"[5.559288,1.505152,2.533014]",
520,"[5.559766,1.48672,2.549563]",
521,"[5.704513,1.417549,2.55655]",
522,"[5.900014,1.334303,2.563377]",
523,"[5.883692,1.340024,2.562807]",
524,"[5.882202,1.33995,2.562755]",
525,"[5.95,1.319664,2.562807]",
526,"[5.95,1.324922,2.565927]",
527,"[5.910635,1.346563,2.578032]",
528,"[5.876176,1.361436,2.585352]",
529,"[5.723839,1.409028,2.623802]",
530,"[5.680702,1.420943,2.635546]",
531,"[5.646497,1.430321,2.644849]",
532,"[5.643638,1.431616,2.645693]",
533,"[5.639582,1.43331,2.646871]",
534,"[5.643143,1.441348,2.647067]",
535,"[5.651894,1.442229,2.645111]",
536,"[5.671956,1.443447,2.640522]",
537,"[5.675635,1.44431,2.639763]",
538,"[5.682038,1.446681,2.638555]",
539,"[5.683991,1.447894,2.638249]",
540,"[5.692202,1.447682,2.636279]",
541,"[5.698379,1.447133,2.634747]",
542,"[5.700563,1.44629,2.634121]",
543,"[5.699742,1.336896,2.626778]",
544,"[5.713497,1.292125,2.62521]",
545,"[5.563495,1.264227,2.620788]",
546,"[5.560585,1.236398,2.620279]",
547,"[5.95,0.8975567,2.572471]",
548,"[5.95,0.8780868,2.562979]",
549,"[5.840152,0.9427454,2.561286]",
550,"[5.788924,0.969389,2.559497]",
551,"[5.788064,0.9685674,2.559467]",
552,"[5.78548,0.96843,2.559377]",
553,"[5.780664,0.9704605,2.559209]",
554,"[5.770608,0.9750332,2.558858]",
555,"[5.770595,0.9753177,2.558857]",
556,"[5.770249,0.9761809,2.558845]",
557,"[5.758626,0.9953603,2.558439]",
558,"[5.752926,1.006111,2.55824]",
559,"[5.762525,1.011973,2.558576]",
560,"[5.752173,1.022948,2.558214]",
561,"[5.725809,1.046043,2.557293]",
562,"[5.707091,1.058703,2.55664]",
563,"[5.65717,0.9859456,2.461838]",
564,"[5.62031,0.98439,2.447795]",
565,"[5.598046,0.9832644,2.44061]",
566,"[5.569868,0.9814423,2.432734]",
567,"[5.560588,0.9807775,2.430282]",
568,"[5.539384,0.9800167,2.433544]",
569,"[5.531567,0.9797058,2.434484]",
570,"[5.529188,0.9760152,2.434022]",
571,"[5.529466,0.9726629,2.433321]",
572,"[5.530023,0.9714496,2.429653]",
573,"[5.530914,0.9707168,2.423284]",
574,"[5.531271,0.9709193,2.420532]",
575,"[5.531857,0.9701921,2.416449]",
576,"[5.532051,0.9696614,2.41521]",
577,"[5.532592,0.9666756,2.412391]",
578,"[5.532924,0.9645103,2.410796]",
579,"[5.533316,0.9613577,2.409159]",
580,"[5.534919,0.9477957,2.402725]",
581,"[5.536161,0.9370562,2.397843]",
582,"[5.544406,0.8714542,2.363071]",
583,"[5.548209,0.8452985,2.346901]",
584,"[5.716238,0.6622186,2.291333]",
585,"[5.709294,0.6622185,2.284564]",
586,"[5.702546,0.6622186,2.267634]",
587,"[5.699854,0.6622186,2.259774]",
588,"[5.704007,0.6622186,2.251066]",
589,"[5.596,0.7689495,2.265439]",
590,"[5.596,0.7721176,2.26033]",
591,"[5.596,0.7757771,2.251837]",
592,"[5.596,0.7763518,2.250759]",
593,"[5.596,0.7789066,2.247506]",
594,"[5.596,0.7792987,2.244965]",
595,"[5.596,0.7755126,2.242132]",
596,"[5.596,0.7447582,2.236081]",
597,"[5.596,0.725852,2.233999]",
598,"[5.596,0.6935087,2.234953]",
599,"[5.596,0.6795275,2.237204]",
600,"[5.593176,0.6622186,2.242166]",
601,"[5.590097,0.6622186,2.245799]",
602,"[5.587291,0.6622186,2.248812]",
603,"[5.580922,0.6622186,2.255541]",
604,"[5.576859,0.6622185,2.259403]",
605,"[5.573006,0.6579721,2.266775]",
606,"[5.572785,0.6523623,2.270911]",
607,"[5.572478,0.6396899,2.279707]",
608,"[5.572324,0.633623,2.284127]",
609,"[5.572155,0.622529,2.331517]",
610,"[5.569305,0.622529,2.354587]",
611,"[5.5367,0.5623381,2.616023]",
612,"[5.535062,0.5385287,2.662933]",
613,"[5.534608,0.5290237,2.675926]",
614,"[5.533982,0.5181864,2.693879]",
615,"[5.533995,0.5173631,2.693509]",
616,"[5.533999,0.5157395,2.693383]",
617,"[5.534011,0.5139536,2.693021]",
618,"[5.534026,0.5126123,2.692622]",
619,"[5.534072,0.5067339,2.691289]",
620,"[5.534053,0.5018395,2.691836]",
621,"[5.53405,0.4912486,2.691918]",
622,"[5.534067,0.4861258,2.691436]",
623,"[5.534225,0.4800198,2.686923]",
624,"[5.534301,0.4795693,2.684725]",
625,"[5.534914,0.5024785,2.667186]",
626,"[5.535224,0.5143858,2.658282]",
627,"[5.535435,0.5227391,2.65227]",
628,"[5.535608,0.5327892,2.647292]",
629,"[5.53567,0.5353747,2.645523]",
630,"[5.535755,0.5374182,2.643095]",
631,"[5.535796,0.5381774,2.641924]",
632,"[5.535805,0.5394071,2.641653]",
633,"[5.53581,0.5396215,2.641516]",
634,"[5.535818,0.5396592,2.641281]",
635,"[5.535871,0.5415229,2.639775]",
636,"[5.53593,0.5414664,2.638099]",
637,"[5.536054,0.5387781,2.634533]",
638,"[5.536109,0.5386084,2.632952]",
639,"[5.53624,0.5373886,2.629207]",
640,"[5.536316,0.5367625,2.627012]",
641,"[5.5365,0.5391635,2.621766]",
642,"[5.536596,0.5426108,2.619012]",
643,"[5.536687,0.546081,2.616408]",
644,"[5.536849,0.5549732,2.611754]",
645,"[5.536972,0.5603798,2.608246]",
646,"[5.537181,0.5700424,2.602257]",
647,"[5.537276,0.5738782,2.599535]",
648,"[5.537454,0.5736951,2.594447]",
649,"[5.537561,0.5728014,2.591373]",
650,"[5.537597,0.5709048,2.590341]",
651,"[5.53767,0.5678847,2.588249]",
652,"[5.537707,0.5670046,2.587203]",
653,"[5.537815,0.5701957,2.584095]",
